fila,replica,semilla,nAnts,alpha,beta,rho,gamma,tauMax,fitnessExp,maletasNoRuteadas,usoVuelos,usoAeropuertos,duracionHoras,tiempoMs
12,5,46,16,0.5,4,0.15,0.05,10,60349.139909,0,4.460380,5.397927,5049.083333,2943
12,6,47,16,0.5,4,0.15,0.05,10,60196.767485,0,4.470380,5.415221,5031.116667,2940
12,7,48,16,0.5,4,0.15,0.05,10,60400.340797,0,4.483615,5.418392,5049.833333,2943
12,8,49,16,0.5,4,0.15,0.05,10,60340.684427,0,4.473583,5.408435,5045.866667,2948
12,9,50,16,0.5,4,0.15,0.05,10,60484.049338,0,4.470396,5.405153,5060.850000,2925
12,10,51,16,0.5,4,0.15,0.05,10,60342.575864,0,4.462492,5.400417,5047.966667,2930
13,1,42,16,1,1,0.15,0.1,10,60352.369042,0,4.490809,5.422894,5043.866667,2955
13,2,43,16,1,1,0.15,0.1,10,60186.443330,0,4.482790,5.420320,5028.333333,2952
13,3,44,16,1,1,0.15,0.1,10,60216.508065,0,4.464371,5.398304,5035.383333,3021
13,4,45,16,1,1,0.15,0.1,10,60471.462302,0,4.497406,5.430723,5054.333333,2984
13,5,46,16,1,1,0.15,0.1,10,60269.697840,0,4.482480,5.415218,5037.200000,2969
13,6,47,16,1,1,0.15,0.1,10,60542.198568,0,4.488019,5.423180,5063.100000,2957
13,7,48,16,1,1,0.15,0.1,10,60491.065696,0,4.470997,5.405402,5061.466667,2943
13,8,49,16,1,1,0.15,0.1,10,60410.768935,0,4.457520,5.397249,5055.600000,2971
13,9,50,16,1,1,0.15,0.1,10,60197.801650,0,4.450727,5.387908,5035.916667,2956
13,10,51,16,1,1,0.15,0.1,10,60188.705455,0,4.457455,5.390584,5034.066667,2971
14,1,42,16,1,2,0.3,0.01,25,60635.392968,0,4.480290,5.411270,5074.383333,2968
14,2,43,16,1,2,0.3,0.01,25,60306.640254,0,4.480445,5.418195,5040.800000,2937
14,3,44,16,1,2,0.3,0.01,25,60297.361942,0,4.466176,5.399852,5043.133333,2945
14,4,45,16,1,2,0.3,0.01,25,60287.521335,0,4.484269,5.420919,5038.233333,2940
14,5,46,16,1,2,0.3,0.01,25,60242.344003,0,4.433873,5.380971,5042.750000,2952
14,6,47,16,1,2,0.3,0.01,25,60193.070398,0,4.434759,5.380478,5037.783333,2967
14,7,48,16,1,2,0.3,0.01,25,60394.940032,0,4.475098,5.410009,5050.983333,2960
14,8,49,16,1,2,0.3,0.01,25,60197.113965,0,4.478513,5.415101,5030.350000,2958
14,9,50,16,1,2,0.3,0.01,25,59928.508372,0,4.459465,5.400377,5006.866667,2941
14,10,51,16,1,2,0.3,0.01,25,60220.723494,0,4.461258,5.398465,5036.100000,2963
15,1,42,16,1,4,0.05,0.05,50,60511.269578,0,4.482296,5.413640,5061.533333,2934
15,2,43,16,1,4,0.05,0.05,50,60398.846962,0,4.476176,5.413004,5050.966667,2956
15,3,44,16,1,4,0.05,0.05,50,60501.126577,0,4.488599,5.421028,5059.150000,2942
15,4,45,16,1,4,0.05,0.05,50,60127.943552,0,4.453194,5.389916,5028.483333,2934
15,5,46,16,1,4,0.05,0.05,50,60349.139909,0,4.460380,5.397927,5049.083333,2948
15,6,47,16,1,4,0.05,0.05,50,60196.767485,0,4.470380,5.415221,5031.116667,2926
15,7,48,16,1,4,0.05,0.05,50,60400.340797,0,4.483615,5.418392,5049.833333,2945
15,8,49,16,1,4,0.05,0.05,50,60340.684427,0,4.473583,5.408435,5045.866667,2948
15,9,50,16,1,4,0.05,0.05,50,60484.049338,0,4.470396,5.405153,5060.850000,2943
15,10,51,16,1,4,0.05,0.05,50,60565.386786,0,4.468047,5.396839,5070.050000,2948
16,1,42,32,0.5,1,0.3,0.05,25,60352.369042,0,4.490809,5.422894,5043.866667,2951
16,2,43,32,0.5,1,0.3,0.05,25,60130.332350,0,4.457222,5.397777,5027.533333,2966
16,3,44,32,0.5,1,0.3,0.05,25,60222.600783,0,4.466450,5.400151,5035.600000,2951
16,4,45,32,0.5,1,0.3,0.05,25,60471.462302,0,4.497406,5.430723,5054.333333,2959
16,5,46,32,0.5,1,0.3,0.05,25,60271.606755,0,4.482480,5.415461,5037.366667,2967
16,6,47,32,0.5,1,0.3,0.05,25,60542.198568,0,4.488019,5.423180,5063.100000,2953
16,7,48,32,0.5,1,0.3,0.05,25,60491.065696,0,4.470997,5.405402,5061.466667,2964
16,8,49,32,0.5,1,0.3,0.05,25,60410.768935,0,4.457520,5.397249,5055.600000,2949
16,9,50,32,0.5,1,0.3,0.05,25,60197.801650,0,4.450727,5.387908,5035.916667,2945
16,10,51,32,0.5,1,0.3,0.05,25,60188.705455,0,4.457455,5.390584,5034.066667,2955
17,1,42,32,0.5,2,0.05,0.1,10,60596.366716,0,4.472141,5.412726,5071.150000,2952
17,2,43,32,0.5,2,0.05,0.1,10,60243.948971,0,4.479085,5.414531,5035.033333,2951
17,3,44,32,0.5,2,0.05,0.1,10,60675.121851,0,4.469555,5.405400,5080.016667,2937
17,4,45,32,0.5,2,0.05,0.1,10,60376.545439,0,4.465613,5.403933,5050.700000,2946
17,5,46,32,0.5,2,0.05,0.1,10,60405.975670,0,4.452459,5.396183,5055.733333,2957
17,6,47,32,0.5,2,0.05,0.1,10,60499.748290,0,4.460556,5.398026,5064.116667,2967
17,7,48,32,0.5,2,0.05,0.1,10,60490.967209,0,4.487569,5.419898,5058.350000,2986
17,8,49,32,0.5,2,0.05,0.1,10,60197.113965,0,4.478513,5.415101,5030.350000,2955
17,9,50,32,0.5,2,0.05,0.1,10,60141.830092,0,4.475972,5.413858,5025.200000,2962
17,10,51,32,0.5,2,0.05,0.1,10,60238.198360,0,4.453644,5.393221,5039.133333,2943
18,1,42,32,0.5,4,0.15,0.01,50,60436.014995,0,4.474918,5.413763,5054.733333,2922
18,2,43,32,0.5,4,0.15,0.01,50,60398.846962,0,4.476176,5.413004,5050.966667,2932
18,3,44,32,0.5,4,0.15,0.01,50,60501.126577,0,4.488599,5.421028,5059.150000,2938
18,4,45,32,0.5,4,0.15,0.01,50,60127.943552,0,4.453194,5.389916,5028.483333,2948
18,5,46,32,0.5,4,0.15,0.01,50,60349.139909,0,4.460380,5.397927,5049.083333,2934
18,6,47,32,0.5,4,0.15,0.01,50,60196.767485,0,4.470380,5.415221,5031.116667,2927
18,7,48,32,0.5,4,0.15,0.01,50,60400.340797,0,4.483615,5.418392,5049.833333,2972
18,8,49,32,0.5,4,0.15,0.01,50,60340.684427,0,4.473583,5.408435,5045.866667,2937
18,9,50,32,0.5,4,0.15,0.01,50,60484.049338,0,4.470396,5.405153,5060.850000,2929
18,10,51,32,0.5,4,0.15,0.01,50,60342.575864,0,4.462492,5.400417,5047.966667,2937
