fila,replica,semilla,tamanioPoblacion,probCruce,probMutacion,torneoK,elites,pesoGreedySolomon,fitnessExp,maletasNoRuteadas,usoVuelos,usoAeropuertos,duracionHoras,tiempoMs
8,10,51,15,0.85,0.25,3,1,0.8,61629.982795,0,3.961679,5.006137,5266.216667,17269
9,1,42,15,0.95,0.05,5,2,0.4,63397.521261,0,4.138186,5.144835,5411.450000,12161
9,2,43,15,0.95,0.05,5,2,0.4,63258.441179,0,4.118423,5.129851,5401.016667,16743
9,3,44,15,0.95,0.05,5,2,0.4,63129.379257,0,4.110266,5.127447,5389.166667,16648
9,4,45,15,0.95,0.05,5,2,0.4,63200.802135,0,4.112435,5.125701,5396.266667,16728
9,5,46,15,0.95,0.05,5,2,0.4,63020.168315,0,4.101793,5.118708,5379.966667,16530
9,6,47,15,0.95,0.05,5,2,0.4,63063.608364,0,4.086136,5.106639,5387.083333,16561
9,7,48,15,0.95,0.05,5,2,0.4,63212.767710,0,4.110980,5.126454,5397.533333,16631
9,8,49,15,0.95,0.05,5,2,0.4,63209.377897,0,4.107925,5.125286,5397.616667,16585
9,9,50,15,0.95,0.05,5,2,0.4,63053.710902,0,4.112018,5.123526,5381.816667,16609
9,10,51,15,0.95,0.05,5,2,0.4,63058.657618,0,4.119036,5.125122,5381.450000,16616
10,1,42,5,0.7,0.25,5,2,0.6,63419.730291,0,4.139314,5.144750,5413.566667,1962
10,2,43,5,0.7,0.25,5,2,0.6,63263.265243,0,4.128754,5.138011,5399.650000,2098
10,3,44,5,0.7,0.25,5,2,0.6,62908.587059,0,4.099355,5.111899,5369.733333,3490
10,4,45,5,0.7,0.25,5,2,0.6,62924.959022,0,4.076965,5.097327,5375.066667,3707
10,5,46,5,0.7,0.25,5,2,0.6,63061.253575,0,4.099681,5.114072,5384.750000,3639
10,6,47,5,0.7,0.25,5,2,0.6,63157.208767,0,4.099587,5.115455,5394.216667,3674
10,7,48,5,0.7,0.25,5,2,0.6,63116.199039,0,4.119641,5.130725,5386.583333,3541
10,8,49,5,0.7,0.25,5,2,0.6,63096.973511,0,4.102876,5.119098,5387.500000,3587
10,9,50,5,0.7,0.25,5,2,0.6,63143.344133,0,4.089167,5.108177,5394.600000,3625
10,10,51,5,0.7,0.25,5,2,0.6,63220.704384,0,4.106254,5.120784,5399.366667,3647
11,1,42,5,0.85,0.05,2,4,0.8,63564.176671,0,4.159158,5.161352,5424.366667,210
11,2,43,5,0.85,0.05,2,4,0.8,63529.459869,0,4.156381,5.158912,5421.416667,271
11,3,44,5,0.85,0.05,2,4,0.8,63564.176671,0,4.159158,5.161352,5424.366667,205
11,4,45,5,0.85,0.05,2,4,0.8,63564.176671,0,4.159158,5.161352,5424.366667,262
11,5,46,5,0.85,0.05,2,4,0.8,63564.176671,0,4.159158,5.161352,5424.366667,221
11,6,47,5,0.85,0.05,2,4,0.8,63564.176671,0,4.159158,5.161352,5424.366667,149
11,7,48,5,0.85,0.05,2,4,0.8,63564.176671,0,4.159158,5.161352,5424.366667,197
11,8,49,5,0.85,0.05,2,4,0.8,63555.113763,0,4.159179,5.160935,5423.500000,393
11,9,50,5,0.85,0.05,2,4,0.8,63564.176671,0,4.159158,5.161352,5424.366667,214
11,10,51,5,0.85,0.05,2,4,0.8,63564.176671,0,4.159158,5.161352,5424.366667,222
12,1,42,5,0.95,0.15,3,1,0.4,63091.328849,0,4.104032,5.120630,5386.666667,5084
12,2,43,5,0.95,0.15,3,1,0.4,63462.566304,0,4.124853,5.133713,5420.400000,5022
12,3,44,5,0.95,0.15,3,1,0.4,63149.733939,0,4.113689,5.127045,5390.900000,5125
12,4,45,5,0.95,0.15,3,1,0.4,62989.562699,0,4.104171,5.118392,5376.700000,5121
12,5,46,5,0.95,0.15,3,1,0.4,63060.929020,0,4.116810,5.128286,5381.583333,4993
12,6,47,5,0.95,0.15,3,1,0.4,63209.625975,0,4.108958,5.121501,5397.916667,5079
12,7,48,5,0.95,0.15,3,1,0.4,62946.940509,0,4.095327,5.114280,5373.733333,5117
12,8,49,5,0.95,0.15,3,1,0.4,63042.681350,0,4.101601,5.116913,5382.416667,4943
12,9,50,5,0.95,0.15,3,1,0.4,63407.623346,0,4.144481,5.150142,5411.300000,2756
12,10,51,5,0.95,0.15,3,1,0.4,63140.065485,0,4.117267,5.130132,5389.266667,5265
13,1,42,5,0.7,0.15,5,1,0.8,63454.781528,0,4.147071,5.151710,5415.600000,1855
13,2,43,5,0.7,0.15,5,1,0.8,63115.670387,0,4.118799,5.131705,5386.516667,4879
13,3,44,5,0.7,0.15,5,1,0.8,63450.174369,0,4.151262,5.154079,5414.483333,1246
13,4,45,5,0.7,0.15,5,1,0.8,63508.952981,0,4.143975,5.149145,5421.583333,1654
13,5,46,5,0.7,0.15,5,1,0.8,62970.208700,0,4.095359,5.115183,5375.966667,4849
13,6,47,5,0.7,0.15,5,1,0.8,63118.178227,0,4.121005,5.131007,5386.616667,4966
13,7,48,5,0.7,0.15,5,1,0.8,63308.759886,0,4.120388,5.132205,5405.616667,4770
13,8,49,5,0.7,0.15,5,1,0.8,63075.310602,0,4.099755,5.115556,5386.000000,4758
13,9,50,5,0.7,0.15,5,1,0.8,63184.076838,0,4.130682,5.140061,5391.333333,4641
13,10,51,5,0.7,0.15,5,1,0.8,63190.439234,0,4.113574,5.126365,5395.050000,4800
14,1,42,5,0.85,0.25,2,2,0.4,62876.602234,0,4.084522,5.100580,5369.150000,3754
14,2,43,5,0.85,0.25,2,2,0.4,63244.947506,0,4.117533,5.129081,5399.833333,3500
14,3,44,5,0.85,0.25,2,2,0.4,62966.410654,0,4.103868,5.118709,5374.383333,3788
14,4,45,5,0.85,0.25,2,2,0.4,63093.209124,0,4.092712,5.111163,5388.933333,3765
14,5,46,5,0.85,0.25,2,2,0.4,62761.146147,0,4.099890,5.119090,5354.216667,3779
14,6,47,5,0.85,0.25,2,2,0.4,63503.884205,0,4.150217,5.154334,5419.933333,815
14,7,48,5,0.85,0.25,2,2,0.4,63260.238473,0,4.132214,5.140858,5398.716667,2650
14,8,49,5,0.85,0.25,2,2,0.4,62746.466236,0,4.080511,5.104289,5356.166667,3761
14,9,50,5,0.85,0.25,2,2,0.4,62943.744676,0,4.100882,5.115362,5372.750000,3756
